,country,countrystd,date,date1,date2,lat,lon,text,source,alltext
53,Saint Martin,St-Martin,18.03.2020,2020-03-18,20200318,18.077620298314194,-63.055071492322945," 1. Passengers are not allowed to enter St. Maarten. -This does not apply to residents of St. Maarten or Saint Martin (FWI). They must hold a proof of residence, which can be a St. Maarten/ Saint Martin driving license or a St. Maarten ID/ Saint Martin carte d'identite or a St. Maarten/Saint Martin registration document. -This does not apply to airline crew. -This does not apply to passengers who are specialists with evidence of traveling at the invitation of the Government of St. Maarten. 2. Residents of St. Maarten must self-quarantine for 14 days. 3. Airline crew that are overnighting must undergo a mandatory self-quarantine. ", https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm ,"Saint Martin: 1. Passengers are not allowed to enter St. Maarten. -This does not apply to residents of St. Maarten or Saint Martin (FWI). They must hold a proof of residence, which can be a St. Maarten/ Saint Martin driving license or a St. Maarten ID/ Saint Martin carte d'identite or a St. Maarten/Saint Martin registration document. -This does not apply to airline crew. -This does not apply to passengers who are specialists with evidence of traveling at the invitation of the Government of St. Maarten. 2. Residents of St. Maarten must self-quarantine for 14 days. 3. Airline crew that are overnighting must undergo a mandatory self-quarantine. Source: https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Published on 18.03"
54,Sint Maarten,Sint Maarten,18.03.2020,2020-03-18,20200318,18.040629345792862,-63.070131027041725," Effective Tuesday, March 17, 2020 Sint Maarten will restrict entry to Sint Maarten to all travelers except for legal residents of Dutch Sint Maarten. Sint Maarten’s travel restrictions pertain to visitors from all countries and islands, including regional travel. ", https://cw.usconsulate.gov/news-events/covid-19-information/ ,"Sint Maarten: Effective Tuesday, March 17, 2020 Sint Maarten will restrict entry to Sint Maarten to all travelers except for legal residents of Dutch Sint Maarten. Sint Maarten’s travel restrictions pertain to visitors from all countries and islands, including regional travel. Source: https://cw.usconsulate.gov/news-events/covid-19-information/ Published on 18.03"
55,Guinea-Bissau,Guinea-Bissau,19.03.2020,2020-03-19,20200319,12.026921907201672,-14.977513776550552," Guinea-Bissau announced the closure of land borders and a ban on all flights landing at Osvaldo Viera International Airport beginning on Wednesday, March 18, 2020. ", https://www.osac.gov/Content/Report/ad35b884-c374-4467-910c-183b06a7468b ,"Guinea-Bissau: Guinea-Bissau announced the closure of land borders and a ban on all flights landing at Osvaldo Viera International Airport beginning on Wednesday, March 18, 2020. Source: https://www.osac.gov/Content/Report/ad35b884-c374-4467-910c-183b06a7468b Published on 19.03"
56,Dominican Republic,Dominican Rep.,19.03.2020,2020-03-19,20200319,18.896365870018823,-70.4965865384568," Effective March 19th at 6am, all borders closed until 03 April. Exemption only granted for flights repatriating foreigners and all-cargo flights. Immigration to ask all passengers to declare all countries visiited during the last 30 days. If passenger has visited China during the past 14 days, the officer must immediately notify the Health Authority on the port of entry in order for the health protocol to be activated. The Public Health Ministry reserves the right to require the airline to submit the passenger localization format. This must be delivered within 24 hours once notified. Heightened screening and quarantine protocols at ports of entry.  All airlines must notify passengers that board a plane in China with the Dominican Republic as the final destination, the only two airports authorized to receive these passengers are Las Americas Intl Airport and/or Punta Cana Intl Airport. All airlines are required to ask all passengers if they have visited China in the 14 days prior to travel as pre-requisite to travel to the Dominican Republic. If answer is positive, airline should issue the ticket only to the two airports mentioned before.  ", https://www.iata.org/contentassets/a54ad545de374375acd214555d9573c5/dominican-republic-ncov-measures.pdf ,"Dominican Republic: Effective March 19th at 6am, all borders closed until 03 April. Exemption only granted for flights repatriating foreigners and all-cargo flights. Immigration to ask all passengers to declare all countries visiited during the last 30 days. If passenger has visited China during the past 14 days, the officer must immediately notify the Health Authority on the port of entry in order for the health protocol to be activated. The Public Health Ministry reserves the right to require the airline to submit the passenger localization format. This must be delivered within 24 hours once notified. Heightened screening and quarantine protocols at ports of entry.  All airlines must notify passengers that board a plane in China with the Dominican Republic as the final destination, the only two airports authorized to receive these passengers are Las Americas Intl Airport and/or Punta Cana Intl Airport. All airlines are required to ask all passengers if they have visited China in the 14 days prior to travel as pre-requisite to travel to the Dominican Republic. If answer is positive, airline should issue the ticket only to the two airports mentioned before.  Source: https://www.iata.org/contentassets/a54ad545de374375acd214555d9573c5/dominican-republic-ncov-measures.pdf Published on 19.03"
57,Guadeloupe,Guadeloupe,19.03.2020,2020-03-19,20200319,,," Effective March 18th, all international flights to Pointe-a-Pitre are suspended for a 30 day period. From this date, passenger air transportation to Guadeloupe from other countries will only be authorized for 1 / Repatriation US citizens and residents currently in Guadeloupe and having flown from the U.S. with JetBlue, American Airlines or Air France, will be flown back. These three airlines have been granted a grace period past March 18 to get everyone home. 2/ Reunification of families with children or dependents, and students 3 / Exceptional travel for the continuity of essential services 4 / Health and sanitary reasons In addition to the suspension of international flights, all passenger flights connecting mainland France to the Guadeloupe Islands will also be suspended for the same period of time starting March 22, 2020.  All people arriving in The Guadeloupe Islands will be subject to the restrictions and confinement measures that have been recently imposed by the French Government. ", https://www.iata.org/contentassets/339c723a99aa45e99d6aa2a868f53a0c/guadeloupe-ncov-measures.pdf ,"Guadeloupe: Effective March 18th, all international flights to Pointe-a-Pitre are suspended for a 30 day period. From this date, passenger air transportation to Guadeloupe from other countries will only be authorized for: 1 / Repatriation US citizens and residents currently in Guadeloupe and having flown from the U.S. with JetBlue, American Airlines or Air France, will be flown back. These three airlines have been granted a grace period past March 18 to get everyone home. 2/ Reunification of families with children or dependents, and students 3 / Exceptional travel for the continuity of essential services 4 / Health and sanitary reasons In addition to the suspension of international flights, all passenger flights connecting mainland France to the Guadeloupe Islands will also be suspended for the same period of time starting March 22, 2020.  All people arriving in The Guadeloupe Islands will be subject to the restrictions and confinement measures that have been recently imposed by the French Government. Source: https://www.iata.org/contentassets/339c723a99aa45e99d6aa2a868f53a0c/guadeloupe-ncov-measures.pdf Published on 19.03"
58,Greece,Greece,19.03.2020,2020-03-19,20200319,39.051181166727496,22.97481899633821," 1. Passengers are not allowed to enter Greece. - This does not apply to nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden or Switzerland. - This does not apply to family members of nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden or Switzerland. - This does not apply to passengers with a British passport and their family members. - This does not apply to passengers with a residence permit issued by Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland or United Kingdom. - This does not apply to passengers with a long term visa issued by Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland or United Kingdom. - This does not apply to the following passengers a. Healthcare professionals and health researchers designated to support the national health care system. b. government members, diplomats, staff of international organizations, military personnel and humanitarian aid workers in the exercise of their duties. c. passengers in transit. d. Aircraft flight crew. e. passengers travelling for imperative family or business reasons provided that the relevant authorization has been obtained by the Greek embassy/consulate. 2. Passengers are required to be in isolation for a period of 14 days. - This does not apply to airline crew.   Prime Minister Kyriakos Mitsotakis is expected to announce the suspension of all passenger flights to and from Greece on Thursday 19 March in a televised address expected later in the afternoon, as the government ramps up measures to limit the spread of the novel coronavirus.  According to information, the suspension will take effect on Sunday night 22 March. ", https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm ,"Greece: 1. Passengers are not allowed to enter Greece. - This does not apply to nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden or Switzerland. - This does not apply to family members of nationals of Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden or Switzerland. - This does not apply to passengers with a British passport and their family members. - This does not apply to passengers with a residence permit issued by Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland or United Kingdom. - This does not apply to passengers with a long term visa issued by Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland or United Kingdom. - This does not apply to the following passengers: a. Healthcare professionals and health researchers designated to support the national health care system. b. government members, diplomats, staff of international organizations, military personnel and humanitarian aid workers in the exercise of their duties. c. passengers in transit. d. Aircraft flight crew. e. passengers travelling for imperative family or business reasons provided that the relevant authorization has been obtained by the Greek embassy/consulate. 2. Passengers are required to be in isolation for a period of 14 days. - This does not apply to airline crew.   Prime Minister Kyriakos Mitsotakis is expected to announce the suspension of all passenger flights to and from Greece on Thursday 19 March in a televised address expected later in the afternoon, as the government ramps up measures to limit the spread of the novel coronavirus.  According to information, the suspension will take effect on Sunday night 22 March. Source: https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Published on 19.03"
59,Gaza,Palestine,19.03.2020,2020-03-19,20200319,31.91608337961054,35.19781236515579," Gaza crossings closed in both directions. Even if approval to exit Gaza is given, international personnel can only enter Israel if they have not travelled abroad in the previous 14 days. International personnel inside Gaza who entered Israel less than 14 days before, must travel directly to Allenby or to Ben Gurion Airport 6 hours before the flight (GOI). ", Sources ,"Gaza: Gaza crossings closed in both directions. Even if approval to exit Gaza is given, international personnel can only enter Israel if they have not travelled abroad in the previous 14 days. International personnel inside Gaza who entered Israel less than 14 days before, must travel directly to Allenby or to Ben Gurion Airport 6 hours before the flight (GOI). Source: Sources Published on 19.03"
60,French Polynesia,Fr. Polynesia,19.03.2020,2020-03-19,20200319,-15.188779595798124,-145.0520403583545," Passengers are not allowed to enter French Polynesia. -This does not apply to residents of French Polynesia. They must have a “Carte de resident"" with a validity of 10 years. ", https://www.iata.org/contentassets/4ce2b0f630de4c23bd791324c515622b/french-polynesia-ncov-measures.pdf ,"French Polynesia: Passengers are not allowed to enter French Polynesia. -This does not apply to residents of French Polynesia. They must have a “Carte de resident"" with a validity of 10 years. Source: https://www.iata.org/contentassets/4ce2b0f630de4c23bd791324c515622b/french-polynesia-ncov-measures.pdf Published on 19.03"
61,European Union,European Union,19.03.2020,2020-03-19,20200319,,," international restrictions On 17 March, he European Union announced an IMMEDIATE SEALING of the borders for at least 30 days of the 26 Schengen Area countries, 22 of which are in the EU. The ban will affect all non-EU nationals except long-term residents, family members of EU nationals and diplomats, cross-border and healthcare workers, and people transporting goods. Iceland, Liechtenstein, Norway and Switzerland UK citizens will be unaffected. The Ireland/Northern Ireland border is not affected. Internal travel within the EU remains based upon each countries’ respective restrictions. ", UNHAS ,"European Union: international restrictions: On 17 March, he European Union announced an IMMEDIATE SEALING of the borders for at least 30 days of the 26 Schengen Area countries, 22 of which are in the EU. The ban will affect all non-EU nationals except long-term residents, family members of EU nationals and diplomats, cross-border and healthcare workers, and people transporting goods. Iceland, Liechtenstein, Norway and Switzerland UK citizens will be unaffected. The Ireland/Northern Ireland border is not affected. Internal travel within the EU remains based upon each countries’ respective restrictions. Source: UNHAS Published on 19.03"
62,Democratic Republic of the Congo,Congo,19.03.2020,2020-03-19,20200319,-0.8388799890819546,15.218336155911782," As of this Friday 20 March 2020, all flights from countries at risk of COVID-19 and from transit countries are suspended. Only airplanes and cargo ships and other means of freight transport will be authorized to enter the national territory and their personnel subject to controls. Passengers residing in countries at risk are not allowed to enter until further notice. All passengers, upon arrival must complete an information sheet. Also, there will be temperature checks.All travellers coming from countries designated as high-risk by the Government of DRC will be subject to 14 days mandatory self-quarantine. These measures are in place even for travellers showing no symptoms of coronavirus. Those presenting symptoms may be transferred to local health centres for further examination by health professionals. Temperature checks will also be carried out at all maritime, river, lake and land entry points in the national territory and for people leaving Kinshasa to the various provinces of the country in order to prevent the spread of the pandemic to the rest of our country. ", https://www.gov.uk/foreign-travel-advice/democratic-republic-of-the-congo/health#coronavirus ,"Democratic Republic of the Congo: As of this Friday 20 March 2020, all flights from countries at risk of COVID-19 and from transit countries are suspended. Only airplanes and cargo ships and other means of freight transport will be authorized to enter the national territory and their personnel subject to controls. Passengers residing in countries at risk are not allowed to enter until further notice. All passengers, upon arrival must complete an information sheet. Also, there will be temperature checks.All travellers coming from countries designated as high-risk by the Government of DRC will be subject to 14 days mandatory self-quarantine. These measures are in place even for travellers showing no symptoms of coronavirus. Those presenting symptoms may be transferred to local health centres for further examination by health professionals. Temperature checks will also be carried out at all maritime, river, lake and land entry points in the national territory and for people leaving Kinshasa to the various provinces of the country in order to prevent the spread of the pandemic to the rest of our country. Source: https://www.gov.uk/foreign-travel-advice/democratic-republic-of-the-congo/health#coronavirus Published on 19.03"
63,Argentina,Argentina,19.03.2020,2020-03-19,20200319,-35.387551041411754,-65.17819055279396," Government announces nationwide shutdown until March 31 amid COVID-19 outbreak. Borders closed effective immediately until 31 March 2020. All-cargo operations, air crew are exempted but are subject to mandatory quarantine. Foreign travelers in transit through Argentina are allowed entry but must not present any symptoms, must hold outbound ticket and must comply with the requirements set forth by health ministry. Ministry of Transportation has extended the possibility of operating flights from affected areas into Argentina as long as these only carry Argentinian residents. Returning flights will be allowed to transport passengers needing to leave the country. Flights have to be requested to ANAC through same procedure used for regular/non-regular flights (Res. 180). MOT has announced suspension of domestic flights as well as long distance trains and buses as from 00.00 hrs. Fri 20 March 2020 until 00.00 hrs. Wed 25 March 2020. Monday 23 March and Tue 24 March are national holidays so they adopt these measures to decrease circulation of passengers. ", https://www.iata.org/contentassets/a3a5dce2606842b09b0a3d99cede1260/argentina-ncov-measures.pdf ,"Argentina: Government announces nationwide shutdown until March 31 amid COVID-19 outbreak. Borders closed effective immediately until 31 March 2020. All-cargo operations, air crew are exempted but are subject to mandatory quarantine. Foreign travelers in transit through Argentina are allowed entry but must not present any symptoms, must hold outbound ticket and must comply with the requirements set forth by health ministry. Ministry of Transportation has extended the possibility of operating flights from affected areas into Argentina as long as these only carry Argentinian residents. Returning flights will be allowed to transport passengers needing to leave the country. Flights have to be requested to ANAC through same procedure used for regular/non-regular flights (Res. 180). MOT has announced suspension of domestic flights as well as long distance trains and buses as from 00.00 hrs. Fri 20 March 2020 until 00.00 hrs. Wed 25 March 2020. Monday 23 March and Tue 24 March are national holidays so they adopt these measures to decrease circulation of passengers. Source: https://www.iata.org/contentassets/a3a5dce2606842b09b0a3d99cede1260/argentina-ncov-measures.pdf Published on 19.03"
64,Bulgaria,Bulgaria,19.03.2020,2020-03-19,20200319,42.768522582229735,25.217512624510874," The Bulgarian government has banned the entry of travelers from the following 15 countries beginning March 18 Italy, Spain, Iran, Republic of Korea, China, France, Germany, United Kingdom, Switzerland, The Netherlands, India, Bangladesh, Maldives, Nepal, and Sri Lanka. These restrictions do not apply to Bulgarian citizens and their family members, or persons with permanent or long term residence permits and members of their families. Travellers in Bulgaria still have movement capabilities to neighboring countries. Border Crossings with North Macedonia, Serbia, and Romania have been reduced to a few points of entry with many smaller border crossings closed. The closures, together with enhanced inspections are leading to long lines of slow-moving vehicles, with reports of lengthy delays at the Turkish border. Borders with Greece and Turkey are still open to Bulgarians and Americans, though the train service is suspended. These measures are being implemented by neighboring countries. From midnight on March 17 flights from Italy and Spain to Bulgaria will be suspended.  Bulgaria has temporarily barred admission to (non-EU) nationals, including U.S. citizens, beginning March 20, 2020, at 1200 a.m. and until April 17. This includes all border crossing points with any means of transport, including aviation, maritime, rail, and road. The ban does not apply to (1) healthcare professionals, health researchers and elderly care professionals; (2) transport personnel engaged in the carriage of goods, crews of aircraft engaged in commercial air transport and other transport personnel as necessary; (3) diplomats, officials of international organizations, military personnel and humanitarian workers in the performance of their duties; (4) persons traveling for humanitarian reasons; (5) third-country nationals who hold a long-term residence permit in an EU Member State and are transiting Bulgaria to return to their country of residence. ", https://www.osac.gov/Content/Report/8467c69c-7024-4c3d-a3c1-183c8d6d9a41 ,"Bulgaria: The Bulgarian government has banned the entry of travelers from the following 15 countries beginning March 18: Italy, Spain, Iran, Republic of Korea, China, France, Germany, United Kingdom, Switzerland, The Netherlands, India, Bangladesh, Maldives, Nepal, and Sri Lanka. These restrictions do not apply to Bulgarian citizens and their family members, or persons with permanent or long term residence permits and members of their families. Travellers in Bulgaria still have movement capabilities to neighboring countries. Border Crossings with North Macedonia, Serbia, and Romania have been reduced to a few points of entry with many smaller border crossings closed. The closures, together with enhanced inspections are leading to long lines of slow-moving vehicles, with reports of lengthy delays at the Turkish border. Borders with Greece and Turkey are still open to Bulgarians and Americans, though the train service is suspended. These measures are being implemented by neighboring countries. From midnight on March 17 flights from Italy and Spain to Bulgaria will be suspended.  Bulgaria has temporarily barred admission to (non-EU) nationals, including U.S. citizens, beginning March 20, 2020, at 12:00 a.m. and until April 17. This includes all border crossing points with any means of transport, including aviation, maritime, rail, and road. The ban does not apply to: (1) healthcare professionals, health researchers and elderly care professionals; (2) transport personnel engaged in the carriage of goods, crews of aircraft engaged in commercial air transport and other transport personnel as necessary; (3) diplomats, officials of international organizations, military personnel and humanitarian workers in the performance of their duties; (4) persons traveling for humanitarian reasons; (5) third-country nationals who hold a long-term residence permit in an EU Member State and are transiting Bulgaria to return to their country of residence. Source: https://www.osac.gov/Content/Report/8467c69c-7024-4c3d-a3c1-183c8d6d9a41 Published on 19.03"
65,Bolivia,Bolivia,19.03.2020,2020-03-19,20200319,-16.706876859261637,-64.68475356160847," Government to close borders to non-residents and suspend all international flights until 31 March because of COVID-19 . As of 20 March to 31 March 2020, all borders are closed. All-cargo operations, nationals and residents returning, diplomats and international organizations and international crew are exempted. Nationals and residents must comply with health protocols upon arrival.  All passengers to fill out passenger locator forms. As of 21 March, all international flights will be suspended. Only repatriation and humanitarian flights are exempted. ", https://www.iata.org/contentassets/c06667419d584d8b940da7bb280c29b7/bolivia-ncov-measures.pdf ,"Bolivia: Government to close borders to non-residents and suspend all international flights until 31 March because of COVID-19 . As of 20 March to 31 March 2020, all borders are closed. All-cargo operations, nationals and residents returning, diplomats and international organizations and international crew are exempted. Nationals and residents must comply with health protocols upon arrival.  All passengers to fill out passenger locator forms. As of 21 March, all international flights will be suspended. Only repatriation and humanitarian flights are exempted. Source: https://www.iata.org/contentassets/c06667419d584d8b940da7bb280c29b7/bolivia-ncov-measures.pdf Published on 19.03"
66,Bermuda,Bermuda,19.03.2020,2020-03-19,20200319,32.31013657811688,-64.76349138259141," Bermuda airport is set to close to all commercial flights at 1150pm on 20 March 2020 for a two-week period. Only Bermuda residents will be allowed to enter the country via commercial flights prior to the closure. Passengers who have been in China, Chinese Taipei, Iran, Italy (northern regions), Hong Kong (SAR China), Japan, Korea (Rep.), Macau (SAR China), Malaysia, Singapore, Thailand, Vietnam, in the past 14 days are subject to quarantine for a minimum of 14 days. Passengers who show any symptom of Coronavirus (COVID-19) or have a relevant travel history, will be put into immediate isolation. Crew are required to complete health form and will be met upon their arrival to reconfirm travel history and current health status. Crew is exempt of the requirement of self-quarantine. ", https://www.iata.org/contentassets/e077e98a5ebe43b4a82ddf8414b061e6/bermuda-ncov-measures.pdf ,"Bermuda: Bermuda airport is set to close to all commercial flights at 11:50pm on 20 March 2020 for a two-week period. Only Bermuda residents will be allowed to enter the country via commercial flights prior to the closure. Passengers who have been in China, Chinese Taipei, Iran, Italy (northern regions), Hong Kong (SAR China), Japan, Korea (Rep.), Macau (SAR China), Malaysia, Singapore, Thailand, Vietnam, in the past 14 days are subject to quarantine for a minimum of 14 days. Passengers who show any symptom of Coronavirus (COVID-19) or have a relevant travel history, will be put into immediate isolation. Crew are required to complete health form and will be met upon their arrival to reconfirm travel history and current health status. Crew is exempt of the requirement of self-quarantine. Source: https://www.iata.org/contentassets/e077e98a5ebe43b4a82ddf8414b061e6/bermuda-ncov-measures.pdf Published on 19.03"
67,Bahrain,Bahrain,19.03.2020,2020-03-19,20200319,26.052784389654434,50.54661936904843," 1. Visa on arrival has been suspended. - This does not apply to passengers with a diplomatic, an official, a service or UN passport. 2. Passengers who have been in Austria, Belgium, China (People's Rep.), Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Iraq, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom and USA in the past 14 days are not allowed to transit and enter Bahrain. - This does not apply to nationals of Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates. - This does not apply to passengers who reside in Bahrain. - This does not apply to airline crew. - This does not apply to military personnel. - This does not apply to passengers with a special approval from Nationality, Passport Residence Affairs Directorate of Bahrain. - This does not apply to passengers with a valid letter of Prior Permission Granted which is presented prior to boarding. 3. Passengers who have been in Hong Kong (SAR China), Italy, Japan, Lebanon, Malaysia, Singapore or Thailand in the past 14 days must have a valid visa prior to arrival. - This does not apply to nationals of Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates. - This does not apply to passengers who reside in Bahrain. - This does not apply to passengers with a valid letter of Prior Permission Granted which is presented prior to boarding. - This does not apply to airline crew. 4. All passengers arriving in Bahrain will immediately be taken to undergo enhanced testing procedures as a preventative measure for Coronavirus (COVID-19) and will be subject to quarantine. 5. Border crossing on the causeway has been temporarily suspended due to Coronavirus (COVID-19). ", https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm ,"Bahrain: 1. Visa on arrival has been suspended. - This does not apply to passengers with a diplomatic, an official, a service or UN passport. 2. Passengers who have been in Austria, Belgium, China (People's Rep.), Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Iraq, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom and USA in the past 14 days are not allowed to transit and enter Bahrain. - This does not apply to nationals of Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates. - This does not apply to passengers who reside in Bahrain. - This does not apply to airline crew. - This does not apply to military personnel. - This does not apply to passengers with a special approval from Nationality, Passport Residence Affairs Directorate of Bahrain. - This does not apply to passengers with a valid letter of Prior Permission Granted which is presented prior to boarding. 3. Passengers who have been in Hong Kong (SAR China), Italy, Japan, Lebanon, Malaysia, Singapore or Thailand in the past 14 days must have a valid visa prior to arrival. - This does not apply to nationals of Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates. - This does not apply to passengers who reside in Bahrain. - This does not apply to passengers with a valid letter of Prior Permission Granted which is presented prior to boarding. - This does not apply to airline crew. 4. All passengers arriving in Bahrain will immediately be taken to undergo enhanced testing procedures as a preventative measure for Coronavirus (COVID-19) and will be subject to quarantine. 5. Border crossing on the causeway has been temporarily suspended due to Coronavirus (COVID-19). Source: https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Published on 19.03"
68,Antigua and Barbuda,Antigua and Barb.,19.03.2020,2020-03-19,20200319,17.284380234712057,-61.79173246216341," 1. Passengers and airline crew who have been in China (People's Rep.), France, Germany, Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. 2. Nationals and resident diplomats of Antigua and Barbuda who have been in China (People's Rep.), France, Germany, Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are allowed to enter Antigua and Barbuda. Airlines must provide their advance passenger information before departure. ", https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm ,"Antigua and Barbuda: 1. Passengers and airline crew who have been in China (People's Rep.), France, Germany, Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. 2. Nationals and resident diplomats of Antigua and Barbuda who have been in China (People's Rep.), France, Germany, Iran, Italy, Japan, Korea (Rep.) or Singapore in the past 28 days are allowed to enter Antigua and Barbuda. Airlines must provide their advance passenger information before departure. Source: https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm Published on 19.03"
69,Angola,Angola,19.03.2020,2020-03-19,20200319,-12.292315643272293,17.536984973775958," All international flights to and from Angola will be suspended as of Friday, 20 March for a period of 15 days. As precautionary measures the country also prohibited circulation of people at land borders during the same period, according to a presidential decree. The docking and disembarkation of passenger ships and their crews coming from outside the country in all national ports will be banned, the decree said. This measure is not applicable to the docking and disembarkation of cargo ships. The disembarkation of crews from cargo ships is only allowed for medical assistance and humanitarian reasons. ", https://africa.cgtn.com/2020/03/19/angola-to-suspend-international-flights-circulation-at-land-borders/ ,"Angola: All international flights to and from Angola will be suspended as of Friday, 20 March for a period of 15 days. As precautionary measures the country also prohibited circulation of people at land borders during the same period, according to a presidential decree. The docking and disembarkation of passenger ships and their crews coming from outside the country in all national ports will be banned, the decree said. This measure is not applicable to the docking and disembarkation of cargo ships. The disembarkation of crews from cargo ships is only allowed for medical assistance and humanitarian reasons. Source: https://africa.cgtn.com/2020/03/19/angola-to-suspend-international-flights-circulation-at-land-borders/ Published on 19.03"
